id,Name,Address
99,0x89c2352Cb600df56fe4BFB5882caAdEF3E96213f,TwoAndAHalfPonzi
100,0x9da7902394fb19ddd340d47398d35e3405bf79ec,x15
101,0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec,quadrupler
102,0x4229a873bbd207deef8f41e807e563c26033d118,triple
103,0xcff9cb72d19c10df754ae7be6d280e379cdb2354,quick
104,0x16A4ff536001405f2B0d7ddAfC79f6A10D024640,plusOnePonzi
105,0xa850E6f693B9bCB31df3eE44e7888EF19E608107,plusOnePonzi
106,0xa259e6bcade86c770cb5214c789ee107662831a6,CrazyEarning
107,0x80D9C4F6209044De069c545f68644419b520a02F,The10ETHPyramid
108,0xf7070fc72e2b92c6309785a39338d7c919a3cf4a,NoFeePonzi
109,0x4668cd871eba35997e1fbe66d0eddf6612d018ce,The10ETHPyramid
110,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,NotAnotherPonzi
111,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,ZeroPonzi
112,0x49f053B866c33185FA1151E71fc80d5Fe6b08a92,FivePercent
113,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,thesimplegame
114,0x5e84c1a6e8b7cd42041004de5cd911d537c5c007,Goodfellas
115,0x3325439082FF8ba7371DFdAa1AF297bBfcAc21b2,WealthRedistributionProject
116,0x316201F586706aAa2795bC2a3F0BAd2379c363e4,FountainOfWealth
117,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,LittleCactus
118,0xfD2487cc0e5dCe97F08BE1Bc8eF1DCE8D5988B4D,Doubler
119,0xfE3672Eff595CfD36eD05aaf4622d1Aec3B5E852,FastRealisticPyramid
120,0x19a6067538c90973eF5dC31Ded5Fa567f3d09059,FastRealisticPyramid
121,0x24ec083b6a022099003e3d035fed48b9a58296e5,Tomeka
122,0x446D1696a5527018453cdA3d67aa4C2cd189b9f6,GreedPit
123,0xbb9854BFD082c48B4D426aC6A2a152B01326f46F,X3
124,0x4865E85C72a27cA6c362DA75BA6707C07464B953,TreasureChest
125,0xbE181DA06D93867af0A3ffaDcEbe345Ec35daE4e,PiggyBank
126,0xa502f8112b2491718855f01a01a60462cc97a0d5,UfoPonzi
127,0xe82719202e5965Cf5D9B6673B7503a3b92DE20be,Rubixi
128,0xa9e4E3b1DA2462752AeA980698c335E70E9AB26C,DynamicPyramid
129,0xF45717552f12Ef7cb65e95476F217Ea008167Ae3,Government
130,0xa39fcB48AdF288F143459d57A1A0756718C919Ae,x15
131,0x7D56485e026D5D3881F778E99969D2b1F90c50aF,ProtectTheCastle
132,0xdc84953D7C6448e498Eb3C33ab0F815da5D13999,Doubler
133,0xdcb13FA157eeBF22dDC8C9aA1d6E394810De6FA3,PiggyBank
